gene_name,logFC,logCPM,PValue,FDR,Condition
ENSG00000149212,-0.83337151174538,7.96874592415195,0.000155999313521558,0.110457089091329,CMS PostHem Vs. Control
ENSG00000115758,-0.863572164138874,6.84288879666124,0.000159143155129186,0.110457089091329,CMS PostHem Vs. Control
ENSG00000070182,-1.47562041137032,7.53290798225094,0.000172321374377681,0.110457089091329,CMS PostHem Vs. Control
ENSG00000137267,-1.33452467163316,6.69689915888815,0.000202952850879797,0.110457089091329,CMS PostHem Vs. Control
ENSG00000182512,-1.24938592149546,6.7246171507842,0.000391208863062451,0.125780099471032,CMS PostHem Vs. Control
ENSG00000175931,-1.42770227296294,6.95952648865239,0.000408194826731905,0.125780099471032,CMS PostHem Vs. Control
ENSG00000158578,-1.89124722333375,10.9422493294197,0.0004432502407459,0.125780099471032,CMS PostHem Vs. Control
ENSG00000197965,0.920347557015848,6.05021213390166,0.000462214421574763,0.125780099471032,CMS PostHem Vs. Control
ENSG00000168785,-0.988797450968206,6.70229802175542,0.000619002497403115,0.13555705465,CMS PostHem Vs. Control
ENSG00000172270,-1.04818387449962,9.19043225548377,0.000860274544988919,0.13555705465,CMS PostHem Vs. Control
ENSG00000004939,-1.5129478716082,10.1124912940055,0.000974071041318936,0.13555705465,CMS PostHem Vs. Control
ENSG00000133606,-1.19112780711512,10.2761788938743,0.000993371043007485,0.13555705465,CMS PostHem Vs. Control
ENSG00000143774,-0.934777185813182,8.62291821822738,0.00104588145474169,0.13555705465,CMS PostHem Vs. Control
ENSG00000107521,-0.704555481174731,7.05322768529877,0.00114705581289172,0.13555705465,CMS PostHem Vs. Control
ENSG00000105281,-0.99372457709782,6.52278791328212,0.0011793052780176,0.13555705465,CMS PostHem Vs. Control
ENSG00000244734,-1.09882878982968,17.7539895350593,0.00123683356315438,0.13555705465,CMS PostHem Vs. Control
ENSG00000178719,-0.927787599666668,7.16072762365835,0.00126747574173875,0.13555705465,CMS PostHem Vs. Control
ENSG00000105701,-1.018346155906,10.3697049101027,0.00127345560543167,0.13555705465,CMS PostHem Vs. Control
ENSG00000184481,-1.06177654366594,7.08662160782284,0.00129923126146562,0.13555705465,CMS PostHem Vs. Control
ENSG00000131981,-0.987658162552759,6.56872993268407,0.00142629874171482,0.13555705465,CMS PostHem Vs. Control
ENSG00000204010,-1.62894892198853,5.82672969645829,0.00162540736412566,0.13555705465,CMS PostHem Vs. Control
ENSG00000130821,-1.20190473458312,6.84915359262523,0.00172119697065487,0.13555705465,CMS PostHem Vs. Control
ENSG00000179632,-0.717008770233649,6.92712579834846,0.00172254279957429,0.13555705465,CMS PostHem Vs. Control
ENSG00000171552,-1.13017216395809,9.44614207883754,0.00175113224439741,0.13555705465,CMS PostHem Vs. Control
ENSG00000143416,-1.36178360523509,7.85629557995046,0.00175405997898356,0.13555705465,CMS PostHem Vs. Control
ENSG00000167815,-1.10395555951667,6.04057104961638,0.00176499871493103,0.13555705465,CMS PostHem Vs. Control
ENSG00000119950,-1.22528111980119,7.81940246458958,0.0017990584694894,0.13555705465,CMS PostHem Vs. Control
ENSG00000196961,-0.829395590293924,7.46865382326022,0.00180371259139623,0.13555705465,CMS PostHem Vs. Control
ENSG00000180667,-1.17545738209324,7.3595348812853,0.0018057669200046,0.13555705465,CMS PostHem Vs. Control
ENSG00000181788,-1.14382545378166,6.98994028808382,0.0019730215650283,0.13924693983664,CMS PostHem Vs. Control
ENSG00000172331,-1.53174159222555,7.66888653333722,0.00205325640661355,0.13924693983664,CMS PostHem Vs. Control
ENSG00000198876,-1.15866663232567,10.5242839031071,0.0020742260167121,0.13924693983664,CMS PostHem Vs. Control
ENSG00000133816,-0.865757882562028,8.18528335825419,0.00211077125154301,0.13924693983664,CMS PostHem Vs. Control
ENSG00000090615,-0.450153769210459,6.61354820500282,0.00217857607599511,0.139492944630628,CMS PostHem Vs. Control
ENSG00000112335,-0.859893500276759,6.71918225660469,0.00227047678723533,0.141223656166038,CMS PostHem Vs. Control
ENSG00000099804,-0.896043118644048,7.23115385020749,0.00246851511621836,0.146661259245229,CMS PostHem Vs. Control
ENSG00000123091,-0.931478791236055,7.21989348162923,0.00256260400650128,0.146661259245229,CMS PostHem Vs. Control
ENSG00000184792,-1.2262055714034,7.30428718893996,0.00260923280878311,0.146661259245229,CMS PostHem Vs. Control
ENSG00000133069,-1.22333253119128,5.98815053440003,0.00279205326303016,0.146661259245229,CMS PostHem Vs. Control
ENSG00000147454,-1.06776866881857,11.2047608746529,0.0028967240334109,0.146661259245229,CMS PostHem Vs. Control
ENSG00000090013,-0.884325282839915,7.35846836194729,0.00298449342514015,0.146661259245229,CMS PostHem Vs. Control
ENSG00000132819,-0.941604070071529,9.1856373139307,0.0030451784517276,0.146661259245229,CMS PostHem Vs. Control
ENSG00000167986,-0.662151443473702,7.28465489853704,0.00311585584016462,0.146661259245229,CMS PostHem Vs. Control
ENSG00000133742,-1.85019987951166,7.30671926771001,0.00312636755119379,0.146661259245229,CMS PostHem Vs. Control
ENSG00000160445,-0.813923124201359,7.03896228393126,0.00314054239820597,0.146661259245229,CMS PostHem Vs. Control
ENSG00000022840,-1.00716880823013,9.17098898431144,0.00329075589359754,0.146661259245229,CMS PostHem Vs. Control
ENSG00000105063,-0.388142434036495,6.93680496486032,0.00338932088734429,0.146661259245229,CMS PostHem Vs. Control
ENSG00000137198,-1.06068230788321,6.29351176553585,0.00350999390929426,0.146661259245229,CMS PostHem Vs. Control
ENSG00000125818,-0.784242677636741,7.81152667514214,0.00355492581394749,0.146661259245229,CMS PostHem Vs. Control
ENSG00000101782,-1.03250131310625,8.40158048542908,0.00357406818138338,0.146661259245229,CMS PostHem Vs. Control
ENSG00000064012,0.304602156924432,7.03593751339167,0.00366259392765725,0.146661259245229,CMS PostHem Vs. Control
